EmployeeNumber,Age,Gender,Department,JobRole,Education,EducationField,MaritalStatus,MonthlyIncome,ExpectedSalary,CompRatio,CompSegment,PercentSalaryHike,PerformanceRating,StockOptionLevel,StockMultiplier,OverTime,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,TrainingTimesLastYear,BusinessTravel,DistanceFromHome,IncentiveEligible,SimulatedPayout,RiskScore,AttritionRisk,Attrition,AttritionFlag
333,32,Male,Sales,Sales Executive,4,Marketing,Married,4465,3469.4738118786963,1.2869386662360287,Overpaid,18,3,0,1.0,No,3,2,2,2,4,0,4,3,3,1,2,Non-Travel,26,0,0.0,0,Stable,No,0
334,41,Male,Research & Development,Research Scientist,2,Life Sciences,Divorced,3072,8726.42439389077,0.35203421943936836,Underpaid,16,3,2,1.2,No,1,0,0,0,17,2,1,3,2,1,2,Travel_Rarely,19,0,0.0,45,Medium,No,0
335,40,Male,Research & Development,Research Scientist,2,Technical Degree,Divorced,3319,5179.902273009309,0.6407456791789622,Underpaid,17,3,2,1.2,No,9,8,4,7,9,1,4,1,3,1,3,Travel_Rarely,24,1,8124.912,50,High,No,0
336,45,Male,Research & Development,Manager,3,Other,Married,19202,13739.562304998959,1.397569993406093,Overpaid,11,3,1,1.1,No,24,0,1,7,25,0,4,3,3,3,2,Travel_Rarely,1,0,0.0,0,Stable,No,0
337,31,Male,Research & Development,Research Director,4,Medical,Divorced,13675,4994.384417861313,2.7380751772119067,Overpaid,12,3,1,1.1,No,2,2,2,2,9,9,3,2,3,1,3,Travel_Frequently,3,0,0.0,0,Stable,No,0
338,33,Female,Research & Development,Research Scientist,4,Life Sciences,Married,2911,1762.316365631696,1.6518033065853999,Overpaid,13,3,1,1.1,No,2,2,0,2,2,1,4,3,2,3,2,Travel_Rarely,5,0,0.0,0,Stable,No,0
339,34,Male,Research & Development,Manufacturing Director,4,Life Sciences,Married,5957,7031.587888486673,0.847177066470836,Underpaid,13,3,1,1.1,No,11,9,5,9,13,6,1,4,3,2,3,Travel_Rarely,2,1,10222.212000000001,65,High,No,0
340,37,Female,Research & Development,Research Scientist,2,Medical,Married,3920,8787.423271134681,0.44609208855075755,Underpaid,14,3,1,1.1,No,3,1,0,2,17,2,1,3,2,1,2,Travel_Rarely,1,1,7244.160000000001,45,Medium,No,0
341,45,Male,Research & Development,Manufacturing Director,4,Life Sciences,Married,6434,5131.910654609686,1.2537240869968624,Overpaid,17,3,1,1.1,No,3,2,0,2,9,4,3,1,3,4,1,Travel_Frequently,7,0,0.0,0,Stable,No,0
342,37,Male,Research & Development,Manufacturing Director,3,Medical,Divorced,10048,8805.122862672359,1.1411538665288343,Fair,11,3,2,1.2,No,1,0,0,0,17,6,3,1,3,2,5,Travel_Frequently,10,0,0.0,0,Stable,Yes,1
343,39,Female,Research & Development,Healthcare Representative,4,Technical Degree,Single,10938,10827.388555418584,1.010215893150529,Fair,25,4,0,1.0,No,19,6,11,8,20,0,3,3,3,4,1,Travel_Frequently,2,1,32814.0,20,Stable,No,0
346,29,Male,Research & Development,Research Scientist,3,Life Sciences,Single,2340,3723.2663904975498,0.6284804133199021,Underpaid,19,3,0,1.0,No,6,5,1,5,6,1,4,3,3,1,1,Travel_Rarely,15,1,5335.2,30,Medium,No,0
347,42,Female,Research & Development,Research Scientist,2,Life Sciences,Single,6545,5590.50889002332,1.1707342084152732,Overpaid,13,3,0,1.0,Yes,3,2,0,2,10,3,1,4,3,3,1,Travel_Rarely,17,0,0.0,40,Medium,No,0
349,29,Male,Sales,Sales Executive,2,Marketing,Divorced,6931,6343.49519918681,1.0926153141707278,Fair,14,3,1,1.1,No,3,2,0,2,10,2,4,4,3,4,2,Travel_Rarely,20,1,12808.488000000003,0,Stable,No,0
350,25,Female,Research & Development,Manufacturing Director,3,Life Sciences,Married,4898,3474.3795327825014,1.4097481158246905,Overpaid,12,3,2,1.2,No,4,2,1,2,5,0,3,1,3,4,3,Travel_Rarely,1,0,0.0,0,Stable,No,0
351,42,Female,Research & Development,Laboratory Technician,3,Medical,Divorced,2593,5970.426750778596,0.4343073130680064,Underpaid,11,3,1,1.1,Yes,9,6,7,8,10,0,1,4,3,3,4,Travel_Rarely,2,0,0.0,90,High,No,0
352,40,Male,Research & Development,Research Director,2,Medical,Divorced,19436,11812.513483116993,1.6453737833001298,Overpaid,19,3,1,1.1,No,21,7,3,9,22,0,3,1,3,4,5,Travel_Rarely,2,0,0.0,0,Stable,No,0
353,51,Male,Research & Development,Research Scientist,3,Life Sciences,Married,2723,1441.272768754292,1.889302329879943,Overpaid,11,3,0,1.0,No,1,0,0,0,1,1,4,3,2,2,0,Travel_Rarely,1,0,0.0,0,Stable,No,0
355,31,Male,Research & Development,Laboratory Technician,2,Medical,Single,3479,4136.44072683891,0.8410612480016533,Underpaid,11,3,0,1.0,No,5,4,1,4,6,0,2,3,4,2,2,Travel_Frequently,29,1,4592.28,45,Medium,Yes,1
359,32,Male,Research & Development,Laboratory Technician,3,Life Sciences,Married,2794,3478.0121889774728,0.8033324347898358,Underpaid,20,4,0,1.0,No,5,1,0,3,5,1,2,2,1,3,3,Travel_Frequently,7,1,6705.6,45,Medium,No,0
361,38,Male,Sales,Sales Executive,2,Life Sciences,Married,5249,7725.7748314712335,0.6794140541888435,Underpaid,18,3,1,1.1,No,8,7,7,5,13,3,4,4,3,4,0,Non-Travel,2,1,12471.624000000002,50,High,No,0
362,32,Male,Research & Development,Laboratory Technician,1,Technical Degree,Single,2176,5723.739404128529,0.38017104664661233,Underpaid,13,3,0,1.0,No,6,2,0,4,9,4,1,4,3,4,5,Travel_Rarely,2,1,3394.56,45,Medium,No,0
363,46,Female,Sales,Manager,3,Technical Degree,Married,16872,14664.009251816795,1.1505721055044784,Overpaid,12,3,1,1.1,Yes,7,7,7,7,28,3,2,3,2,2,2,Travel_Rarely,2,0,0.0,60,High,No,0
364,28,Male,Research & Development,Laboratory Technician,4,Life Sciences,Single,3485,3431.0802470762683,1.0157150952588994,Fair,11,3,0,1.0,No,0,0,0,0,5,2,3,1,1,3,5,Travel_Rarely,2,0,0.0,0,Stable,Yes,1
366,29,Male,Sales,Sales Executive,3,Medical,Married,6644,6188.514882857859,1.0736016840492428,Fair,19,3,2,1.2,No,0,0,0,0,10,2,2,1,3,2,2,Travel_Rarely,2,0,0.0,15,Stable,No,0
367,31,Male,Research & Development,Healthcare Representative,3,Medical,Married,5582,6159.1793493761015,0.9062895693344979,Fair,21,4,1,1.1,No,9,0,7,8,10,0,4,2,3,2,2,Travel_Rarely,23,1,15473.304,20,Stable,No,0
369,25,Male,Research & Development,Healthcare Representative,2,Life Sciences,Divorced,4000,4404.951470716425,0.908069027909049,Fair,12,3,2,1.2,No,6,3,1,5,6,1,1,2,3,4,2,Non-Travel,5,1,6912.0,15,Stable,No,0
372,45,Male,Research & Development,Healthcare Representative,2,Medical,Married,13496,11723.544786381386,1.1511876523624134,Overpaid,14,3,0,1.0,Yes,20,7,4,10,21,0,4,3,3,2,2,Travel_Rarely,20,0,0.0,45,Medium,No,0
373,36,Male,Research & Development,Laboratory Technician,3,Life Sciences,Married,3210,8660.903678865063,0.3706310702696376,Underpaid,11,3,1,1.1,No,15,13,10,11,16,0,4,4,3,3,4,Travel_Rarely,6,1,4660.92,50,High,No,0
374,55,Male,Research & Development,Manager,3,Medical,Single,19045,19312.177833193662,0.9861653183032295,Fair,14,3,0,1.0,Yes,36,10,4,13,37,0,1,4,3,3,2,Travel_Rarely,1,0,0.0,60,High,No,0
376,47,Male,Research & Development,Manager,4,Life Sciences,Married,11849,5806.459681808327,2.0406582753210167,Overpaid,12,3,1,1.1,Yes,10,7,9,9,10,1,2,1,2,4,2,Non-Travel,29,0,0.0,60,High,Yes,1
377,28,Male,Research & Development,Research Scientist,3,Medical,Married,2070,3097.82041447724,0.6682117498890956,Underpaid,23,4,1,1.1,No,5,2,0,4,5,1,4,4,2,4,3,Travel_Rarely,9,1,6284.52,30,Medium,No,0
378,37,Male,Sales,Sales Executive,4,Medical,Married,6502,4832.128255305416,1.3455768672657136,Overpaid,14,3,1,1.1,No,5,4,0,1,7,4,4,3,4,2,5,Travel_Rarely,6,0,0.0,0,Stable,No,0
379,21,Male,Research & Development,Research Scientist,2,Medical,Single,3230,2441.5099269174,1.322951819441558,Overpaid,17,3,0,1.0,No,3,2,1,0,3,1,3,4,4,1,4,Travel_Rarely,3,0,0.0,0,Stable,No,0
380,37,Female,Research & Development,Research Director,4,Medical,Divorced,13603,7856.897829111844,1.731344901749563,Overpaid,18,3,2,1.2,Yes,5,2,0,2,15,2,4,1,3,1,2,Non-Travel,1,0,0.0,25,Medium,No,0
381,35,Female,Research & Development,Manager,3,Life Sciences,Divorced,11996,5730.527948400103,2.093349881200587,Overpaid,18,3,1,1.1,No,7,7,6,2,10,7,2,2,2,2,6,Travel_Rarely,22,0,0.0,35,Medium,No,0
382,38,Female,Sales,Sales Executive,2,Medical,Divorced,5605,5547.019696179701,1.0104525145025591,Fair,24,4,1,1.1,Yes,8,0,7,7,8,1,1,1,3,3,3,Travel_Rarely,7,0,0.0,60,High,No,0
384,26,Female,Research & Development,Manufacturing Director,3,Life Sciences,Divorced,6397,3624.526481062402,1.7649201994862913,Overpaid,20,4,1,1.1,No,6,5,1,4,6,1,2,3,1,1,6,Travel_Frequently,1,0,0.0,15,Stable,No,0
385,50,Male,Research & Development,Research Director,1,Life Sciences,Divorced,19144,14143.812791104181,1.3535247024791441,Overpaid,14,3,2,1.2,No,10,4,1,6,28,3,2,1,2,1,4,Travel_Rarely,4,0,0.0,15,Stable,No,0
386,53,Male,Research & Development,Research Director,4,Medical,Married,17584,10508.124379482906,1.6733718944489018,Overpaid,16,3,3,1.3,Yes,5,3,1,3,21,3,3,3,2,4,5,Travel_Rarely,3,0,0.0,25,Medium,No,0
387,42,Male,Sales,Sales Executive,1,Life Sciences,Married,4907,10919.582425807555,0.44937615823135324,Underpaid,25,4,0,1.0,No,20,16,11,6,20,1,3,2,3,3,3,Travel_Rarely,1,1,14721.0,50,High,No,0
388,29,Male,Sales,Sales Executive,2,Life Sciences,Single,4554,6485.118142532337,0.7022231360956726,Underpaid,18,3,0,1.0,No,10,7,0,9,10,1,4,2,2,1,3,Travel_Frequently,2,1,9836.64,30,Medium,No,0
389,55,Male,Research & Development,Laboratory Technician,2,Technical Degree,Married,5415,6964.1221793224695,0.7775567200813841,Underpaid,19,3,1,1.1,Yes,10,7,0,8,12,3,4,2,3,4,4,Travel_Rarely,20,0,0.0,55,High,No,0
390,26,Male,Research & Development,Healthcare Representative,2,Medical,Married,4741,3900.637328362331,1.2154424010474443,Overpaid,13,3,1,1.1,Yes,5,3,3,3,5,1,1,1,3,3,3,Travel_Frequently,11,0,0.0,40,Medium,No,0
391,37,Female,Research & Development,Research Scientist,3,Life Sciences,Single,2115,8935.314030354486,0.23670124998573697,Underpaid,12,3,0,1.0,No,17,12,5,7,17,1,4,4,3,2,3,Travel_Rarely,1,1,3045.6,50,High,No,0
392,44,Male,Research & Development,Laboratory Technician,3,Life Sciences,Divorced,3161,9606.096942696047,0.3290618467475963,Underpaid,22,4,1,1.1,Yes,1,0,0,0,19,3,3,4,1,4,0,Travel_Frequently,24,0,0.0,55,High,Yes,1
393,38,Male,Research & Development,Healthcare Representative,4,Life Sciences,Divorced,5745,5859.586858209217,0.9804445499346627,Fair,14,3,1,1.1,No,2,2,1,2,10,9,4,4,3,2,2,Travel_Rarely,23,1,10616.760000000002,0,Stable,No,0
394,26,Male,Research & Development,Laboratory Technician,4,Medical,Divorced,2373,3498.6208539394142,0.6782672656078249,Underpaid,13,3,1,1.1,Yes,3,2,0,2,5,2,2,1,3,4,2,Travel_Rarely,16,0,0.0,70,High,Yes,1
395,28,Female,Research & Development,Research Scientist,2,Life Sciences,Single,3310,3137.344705937603,1.0550322996818415,Fair,21,4,0,1.0,No,5,3,0,2,5,1,4,4,3,4,3,Travel_Rarely,8,1,8341.199999999999,0,Stable,No,0
396,49,Female,Research & Development,Research Director,4,Life Sciences,Single,18665,10896.982496968409,1.7128595008015008,Overpaid,11,3,0,1.0,Yes,3,2,1,2,22,9,1,3,3,4,4,Travel_Frequently,10,0,0.0,40,Medium,No,0
397,36,Male,Research & Development,Research Scientist,3,Technical Degree,Single,4485,5871.185754691784,0.7639002047271193,Underpaid,12,3,0,1.0,No,8,0,7,7,10,4,2,3,3,4,2,Travel_Rarely,3,1,6458.4,65,High,No,0
399,31,Female,Sales,Sales Representative,3,Marketing,Divorced,2789,2519.6732951372933,1.106889534203692,Fair,11,3,1,1.1,No,2,2,2,2,2,1,2,4,2,3,5,Travel_Frequently,5,1,4049.628,15,Stable,No,0
401,26,Male,Sales,Sales Executive,4,Marketing,Single,5828,5301.610438892537,1.0992886156338226,Fair,12,3,0,1.0,Yes,8,7,7,4,8,1,4,4,3,2,0,Travel_Rarely,4,0,0.0,45,Medium,Yes,1
403,37,Male,Research & Development,Research Scientist,3,Medical,Married,2326,2858.384359805689,0.8137464060844917,Underpaid,12,3,3,1.3,Yes,4,2,1,2,4,1,4,2,2,3,3,Travel_Frequently,9,0,0.0,55,High,No,0
404,42,Female,Sales,Sales Executive,3,Marketing,Married,13525,12934.137094812046,1.0456824371704667,Fair,14,3,1,1.1,No,20,4,4,8,23,5,2,3,4,4,2,Travel_Frequently,26,1,24994.200000000004,35,Medium,No,0
405,18,Male,Research & Development,Laboratory Technician,3,Life Sciences,Single,1420,1269.2349828949884,1.1187841645848215,Fair,13,3,0,1.0,No,0,0,0,0,0,1,3,3,3,3,2,Travel_Rarely,3,0,0.0,0,Stable,Yes,1
406,35,Male,Sales,Sales Executive,3,Marketing,Married,8020,7256.018734139157,1.1052893182684818,Fair,15,3,2,1.2,No,11,9,6,9,12,0,2,3,2,3,3,Travel_Rarely,16,1,17323.2,35,Medium,No,0
407,36,Male,Research & Development,Laboratory Technician,4,Life Sciences,Married,3688,3035.680399971528,1.2148841492123448,Overpaid,18,3,2,1.2,No,1,0,0,0,4,4,4,3,3,4,2,Travel_Frequently,18,0,0.0,0,Stable,No,0
408,51,Male,Research & Development,Manufacturing Director,3,Medical,Divorced,5482,7121.15090862328,0.7698193831788668,Underpaid,18,3,1,1.1,No,4,1,1,2,13,5,2,4,3,4,3,Travel_Rarely,2,1,13025.232,45,Medium,No,0
410,41,Male,Sales,Manager,4,Life Sciences,Single,16015,12550.538534328312,1.2760408612105107,Overpaid,19,3,0,1.0,No,22,10,0,4,22,1,2,4,3,2,2,Travel_Rarely,2,0,0.0,15,Stable,No,0
411,18,Female,Sales,Sales Representative,3,Medical,Single,1200,1606.8758464399905,0.7467907384746507,Underpaid,12,3,0,1.0,No,0,0,0,0,0,1,3,4,3,1,2,Travel_Rarely,10,0,0.0,30,Medium,No,0
412,28,Male,Research & Development,Healthcare Representative,2,Medical,Single,5661,5863.436750154029,0.9654747277441491,Fair,19,3,0,1.0,No,8,3,0,7,9,0,1,2,3,3,2,Travel_Rarely,16,1,12907.08,15,Stable,No,0
416,31,Male,Sales,Sales Executive,3,Technical Degree,Married,6929,6288.7641378171775,1.1018063085452348,Fair,11,3,1,1.1,No,8,7,7,7,10,4,4,2,2,2,3,Travel_Rarely,7,1,10060.908000000001,20,Stable,No,0
417,39,Male,Research & Development,Healthcare Representative,3,Medical,Divorced,9613,10483.730538191066,0.9169445899988471,Fair,17,3,3,1.3,No,18,10,3,7,19,0,4,3,2,1,5,Travel_Rarely,1,1,25493.676000000003,0,Stable,No,0
419,36,Female,Research & Development,Laboratory Technician,4,Life Sciences,Married,5674,6237.013200031322,0.909730317705838,Fair,15,3,1,1.1,No,9,8,0,8,11,7,2,2,3,3,3,Non-Travel,24,1,11234.52,15,Stable,No,0
420,32,Male,Sales,Sales Executive,3,Life Sciences,Married,5484,7862.705442123371,0.697469851868063,Underpaid,14,3,1,1.1,No,13,8,4,8,13,1,3,4,2,3,3,Travel_Rarely,7,1,10134.432000000003,50,High,No,0
421,38,Female,Research & Development,Research Director,2,Life Sciences,Married,12061,9815.998457051854,1.2287084245959032,Overpaid,17,3,1,1.1,No,10,8,0,1,19,3,2,1,3,3,2,Travel_Rarely,25,0,0.0,15,Stable,No,0
422,58,Male,Research & Development,Healthcare Representative,4,Life Sciences,Divorced,5660,6874.756872536639,0.8233018425146983,Underpaid,13,3,1,1.1,Yes,5,3,1,2,12,2,3,4,3,4,2,Non-Travel,1,0,0.0,55,High,No,0
423,31,Male,Research & Development,Research Scientist,4,Technical Degree,Married,4821,3725.115787423394,1.294187959546517,Overpaid,12,3,1,1.1,Yes,5,2,0,3,6,0,4,3,3,3,4,Travel_Rarely,5,0,0.0,25,Medium,No,0
424,31,Male,Human Resources,Human Resources,3,Human Resources,Married,6410,4578.045085534721,1.4001609595881261,Overpaid,12,3,0,1.0,No,2,2,1,0,9,3,1,1,3,4,1,Travel_Rarely,2,0,0.0,15,Stable,No,0
425,45,Male,Research & Development,Laboratory Technician,3,Life Sciences,Divorced,5210,12941.53563734426,0.40257973597553276,Underpaid,18,3,1,1.1,No,24,9,9,11,24,1,1,1,3,1,2,Travel_Frequently,7,1,12378.960000000001,65,High,No,0
426,31,Male,Research & Development,Research Scientist,4,Life Sciences,Divorced,2695,2212.173360361113,1.218258952164613,Overpaid,18,3,1,1.1,Yes,2,2,2,2,3,0,4,3,1,2,2,Travel_Rarely,2,0,0.0,25,Medium,No,0
428,33,Female,Research & Development,Manager,4,Life Sciences,Married,11878,6754.089089272603,1.7586383364213558,Overpaid,11,3,2,1.2,No,10,6,8,8,12,6,2,4,3,2,2,Travel_Frequently,5,0,0.0,35,Medium,No,0
429,39,Male,Research & Development,Manager,1,Medical,Married,17068,11520.40354008989,1.4815453243981438,Overpaid,14,3,0,1.0,Yes,21,9,11,10,21,1,1,3,3,4,3,Travel_Rarely,10,0,0.0,60,High,No,0
430,43,Female,Research & Development,Laboratory Technician,4,Life Sciences,Single,2455,5330.757480953254,0.46053492562205117,Underpaid,19,3,0,1.0,No,8,7,1,7,9,0,4,3,3,1,5,Travel_Frequently,10,1,5597.4,30,Medium,No,0
431,49,Female,Research & Development,Healthcare Representative,2,Technical Degree,Single,13964,13102.522354210909,1.065748992636691,Fair,12,3,0,1.0,Yes,7,1,0,7,25,7,3,3,3,4,2,Travel_Rarely,1,0,0.0,25,Medium,No,0
433,52,Male,Research & Development,Research Scientist,4,Medical,Married,4941,6137.772203944509,0.8050152133089283,Underpaid,15,3,0,1.0,No,8,2,7,7,11,2,2,3,2,1,3,Travel_Rarely,8,1,8893.8,65,High,Yes,1
434,27,Female,Research & Development,Research Scientist,3,Life Sciences,Single,2478,2810.4689418002467,0.88170339232168,Fair,12,3,0,1.0,Yes,4,3,1,2,4,1,2,3,2,2,2,Travel_Rarely,5,0,0.0,40,Medium,No,0
436,32,Female,Sales,Sales Executive,2,Technical Degree,Married,5228,7758.483479567406,0.6738430279278625,Underpaid,11,3,0,1.0,Yes,13,12,11,9,13,1,2,3,3,4,2,Travel_Rarely,8,0,0.0,90,High,No,0
437,27,Male,Sales,Sales Executive,3,Life Sciences,Single,4478,4019.8539753123882,1.1139708127462538,Fair,11,3,0,1.0,Yes,5,4,0,4,5,1,3,4,3,1,3,Travel_Rarely,2,0,0.0,25,Medium,No,0
438,31,Male,Sales,Sales Executive,3,Marketing,Divorced,7547,7583.877974380752,0.9951373196529097,Fair,12,3,3,1.3,No,7,7,1,7,13,4,4,4,3,4,3,Travel_Rarely,7,1,14127.984,0,Stable,No,0
439,32,Female,Research & Development,Research Scientist,4,Medical,Single,5055,5393.880971563204,0.9371730719773387,Fair,16,3,0,1.0,No,7,7,0,7,10,7,4,1,2,3,0,Travel_Rarely,2,1,9705.6,0,Stable,No,0
440,28,Male,Research & Development,Research Scientist,4,Medical,Married,3464,3166.344497444624,1.0940060384445207,Fair,13,3,0,1.0,Yes,3,2,2,2,5,5,4,1,2,4,4,Travel_Rarely,2,0,0.0,25,Medium,Yes,1
441,30,Female,Research & Development,Research Scientist,2,Medical,Married,5775,6134.07341009282,0.9414624856784382,Fair,13,3,2,1.2,No,10,8,1,9,11,1,4,4,3,4,2,Travel_Rarely,28,1,10810.8,0,Stable,No,0
442,31,Female,Research & Development,Manufacturing Director,2,Life Sciences,Married,8943,5537.5610879228125,1.614970897477647,Overpaid,24,4,1,1.1,No,10,9,8,9,10,1,3,3,3,1,2,Travel_Frequently,7,0,0.0,20,Stable,No,0
444,39,Male,Research & Development,Manager,2,Medical,Married,19272,11432.963830624085,1.685652144580257,Overpaid,15,3,1,1.1,No,21,9,13,3,21,1,4,3,3,1,2,Travel_Frequently,7,0,0.0,20,Stable,No,0
445,39,Female,Sales,Sales Executive,2,Medical,Married,5238,7230.125729407175,0.724468729318969,Underpaid,18,3,0,1.0,Yes,1,0,0,0,12,4,3,4,2,1,3,Travel_Rarely,3,0,0.0,55,High,Yes,1
446,33,Male,Sales,Sales Executive,3,Marketing,Single,4682,5784.449995463083,0.8094114399246657,Underpaid,14,3,0,1.0,No,7,7,0,1,9,3,4,2,2,3,6,Travel_Frequently,10,1,7865.760000000001,30,Medium,No,0
447,47,Male,Research & Development,Research Director,5,Life Sciences,Married,18300,10359.685792773187,1.7664628412539207,Overpaid,11,3,1,1.1,No,3,2,1,1,21,4,3,4,3,2,2,Travel_Rarely,5,0,0.0,0,Stable,No,0
448,43,Female,Research & Development,Laboratory Technician,4,Life Sciences,Divorced,5257,5385.214628577931,0.9761913614552093,Fair,11,3,1,1.1,No,9,7,0,0,9,1,3,3,4,2,3,Travel_Frequently,10,1,7633.164000000001,0,Stable,No,0
449,27,Male,Sales,Sales Executive,1,Marketing,Married,6349,4644.590388973415,1.3669666145529158,Overpaid,13,3,1,1.1,Yes,5,4,1,4,6,0,2,3,3,4,0,Non-Travel,1,0,0.0,40,Medium,No,0
450,54,Female,Research & Development,Research Scientist,4,Life Sciences,Single,4869,9920.741148005116,0.4907899447592249,Underpaid,12,3,0,1.0,No,4,3,0,3,20,3,3,4,2,4,4,Travel_Frequently,20,1,7011.36,30,Medium,No,0
451,43,Female,Research & Development,Healthcare Representative,3,Life Sciences,Married,9985,5988.400256061231,1.6673902165930814,Overpaid,16,3,1,1.1,No,1,0,0,0,10,8,1,3,2,1,1,Travel_Rarely,7,0,0.0,15,Stable,No,0
452,45,Male,Research & Development,Research Scientist,4,Other,Married,3697,6361.135567885184,0.5811855384225211,Underpaid,14,3,2,1.2,No,10,9,9,8,12,9,4,4,3,1,3,Travel_Rarely,8,1,7453.152000000001,50,High,No,0
453,40,Male,Sales,Sales Executive,2,Medical,Married,7457,4285.730862205832,1.7399599367660574,Overpaid,22,4,3,1.3,Yes,4,3,0,2,6,2,4,2,2,3,2,Travel_Rarely,1,0,0.0,25,Medium,No,0
454,29,Male,Research & Development,Laboratory Technician,4,Other,Married,2119,4376.586343869743,0.4841673015244106,Underpaid,11,3,0,1.0,Yes,7,7,0,7,7,1,1,2,2,4,4,Travel_Rarely,8,0,0.0,70,High,Yes,1
455,29,Male,Research & Development,Laboratory Technician,5,Other,Single,3983,2961.3241497441913,1.345006422327682,Overpaid,17,3,0,1.0,No,3,2,2,2,4,0,4,2,3,3,2,Travel_Rarely,9,0,0.0,0,Stable,No,0
456,30,Female,Sales,Sales Executive,3,Marketing,Divorced,6118,6301.8475970556465,0.9708263974613502,Fair,13,3,3,1.3,No,10,9,1,2,10,1,3,4,3,3,2,Travel_Rarely,5,1,12407.304,0,Stable,No,0
458,27,Female,Sales,Sales Executive,4,Marketing,Married,6214,5301.610438892537,1.1720966811167766,Overpaid,18,3,1,1.1,No,8,7,0,7,8,1,2,2,3,1,3,Travel_Rarely,8,0,0.0,15,Stable,No,0
460,37,Male,Research & Development,Manufacturing Director,2,Medical,Divorced,6347,5020.30452168591,1.2642659369731941,Overpaid,16,3,2,1.2,No,6,2,0,4,8,7,4,4,2,3,2,Travel_Rarely,5,0,0.0,0,Stable,No,0
461,38,Male,Research & Development,Research Director,2,Life Sciences,Divorced,11510,6625.625805559727,1.7371943930702627,Overpaid,14,3,1,1.1,Yes,11,10,2,9,12,0,4,3,3,2,3,Travel_Rarely,15,0,0.0,25,Medium,No,0
462,31,Female,Research & Development,Manufacturing Director,4,Medical,Single,7143,6131.873899027839,1.1648967538508037,Overpaid,14,3,0,1.0,Yes,11,9,4,10,11,1,4,3,2,3,2,Travel_Rarely,7,0,0.0,45,Medium,No,0
463,29,Female,Sales,Sales Executive,1,Marketing,Divorced,8268,5059.61542493586,1.6341162925648272,Overpaid,14,3,2,1.2,Yes,7,7,1,7,7,1,2,4,3,1,2,Travel_Rarely,10,0,0.0,40,Medium,No,0
464,35,Male,Research & Development,Manufacturing Director,4,Technical Degree,Single,8095,9247.04785954405,0.8754145239602064,Fair,13,3,0,1.0,No,16,6,0,13,17,0,2,3,3,4,5,Travel_Rarely,5,1,12628.2,15,Stable,No,0
465,23,Male,Research & Development,Research Scientist,1,Life Sciences,Divorced,2904,3033.2637787372996,0.9573845902742062,Fair,12,3,2,1.2,No,4,2,0,2,4,1,4,3,2,3,2,Travel_Rarely,26,1,5018.112,0,Stable,No,0
466,41,Male,Research & Development,Manufacturing Director,3,Medical,Single,6032,4782.576828584544,1.2612447674542087,Overpaid,15,3,0,1.0,Yes,5,4,1,2,8,6,2,4,3,4,3,Travel_Rarely,6,0,0.0,40,Medium,No,0
467,47,Male,Sales,Sales Representative,1,Medical,Single,2976,4031.040239018687,0.7382709731333456,Underpaid,19,3,0,1.0,No,0,0,0,0,5,3,3,2,3,1,3,Travel_Frequently,4,0,0.0,30,Medium,No,0
468,42,Female,Research & Development,Research Director,5,Life Sciences,Single,15992,8097.317359887634,1.974975079922262,Overpaid,14,3,0,1.0,No,1,0,0,0,16,2,4,1,3,2,2,Travel_Rarely,23,0,0.0,0,Stable,No,0
469,29,Male,Sales,Sales Executive,3,Life Sciences,Married,4649,3563.455250963737,1.3046326311359395,Overpaid,14,3,1,1.1,No,4,3,0,2,4,1,3,4,2,1,3,Non-Travel,2,0,0.0,0,Stable,No,0
470,42,Male,Human Resources,Human Resources,1,Technical Degree,Divorced,2696,2558.0966784439233,1.053908565191509,Fair,11,3,1,1.1,Yes,3,2,1,0,4,0,3,3,3,3,5,Travel_Rarely,2,0,0.0,25,Medium,No,0
471,32,Female,Research & Development,Laboratory Technician,3,Medical,Married,2370,5303.748121727738,0.44685379954053206,Underpaid,13,3,1,1.1,No,8,0,0,7,8,1,2,3,3,3,4,Travel_Rarely,2,1,4066.9200000000005,45,Medium,No,0
473,48,Female,Sales,Manager,1,Medical,Married,12504,8680.077544248801,1.4405401260827253,Overpaid,21,4,1,1.1,No,0,0,0,0,15,3,3,1,1,2,3,Travel_Rarely,29,0,0.0,0,Stable,No,0
474,37,Male,Research & Development,Research Scientist,3,Medical,Divorced,5974,6830.891665217261,0.8745563965564652,Fair,13,3,2,1.2,Yes,7,7,6,7,13,4,1,3,3,1,2,Travel_Rarely,6,0,0.0,60,High,No,0
475,30,Female,Sales,Sales Executive,2,Technical Degree,Married,4736,3589.8960831856307,1.3192582432072324,Overpaid,12,3,1,1.1,Yes,2,2,2,2,4,7,3,4,4,2,2,Non-Travel,25,0,0.0,25,Medium,No,0
476,26,Male,Sales,Sales Executive,3,Life Sciences,Married,5296,5389.050148358343,0.9827334788512427,Fair,17,3,1,1.1,No,8,7,7,7,8,1,3,3,3,2,3,Travel_Rarely,1,1,11884.224000000002,20,Stable,No,0
